id,domain,heard,correct,notes
5474,insurance,हाँ ही शायद को डब्लू सी पोकलेन का नोटिस दिल्लीगढ़ भेज दिया,हाँ शुक्रवार को डब्लू सी पॉलिसी का नोटिस जल निगम भेज दिया।,Friday/WC Policy/Jal Nigam hallucinations; speaker_format: clerk_to_ae
5475,billing,रुक तीन पचासी की मिट्टी मैं वाइज खुदाई की रिपोर्ट में डाल,रुक 3.85 की मिट्टी महीने वाइज खुदाई की रिपोर्ट में डाल।,3.85/Month wise hallucinations; speaker_format: je_to_operator
5476,digital,सुन लोग इन नहीं हुआ तो सर अंदर की आईडी ब्लॉक हो जाएगी,सुन लॉगिन नहीं हुआ तो सरेंडर की आईडी ब्लॉक हो जाएगी।,Login/Surrender hallucinations; speaker_format: it_to_je
5477,building,अरे शरीर और बीवियां दिए का स्टॉक खत्म है नया मंगा लो जल्दी,अरे सरिया और बाइंडिंग वायर का स्टॉक खत्म है नया मंगा लो जल्दी।,Sariya/Binding wire hallucinations; speaker_format: storekeeper_to_je
5478,insurance,सर डब्लू सी पोकलेन का बिल ही शायद को पास हो गया था सर,सर डब्लू सी पॉलिसी का बिल शुक्रवार को पास हो गया था सर।,WC Policy/Friday hallucinations; speaker_format: clerk_to_ae
5479,billing,अबे मैं वाइज टर्नओवर में तीन पचासी का घाटा दिखा रहा है ये,अबे महीने वाइज टर्नओवर में 3.85 का घाटा दिखा रहा है ये।,Month wise/3.85 hallucinations; speaker_format: ae_to_contractor
5480,digital,हाँ लोग इन पेज पे सर अंदर का नोटिफिकेशन आ गया है चेक कर,हाँ लॉगिन पेज पे सरेंडर का नोटिफिकेशन आ गया है चेक कर।,Login/Surrender hallucinations; speaker_format: je_to_supervisor
5481,building,रुक शरीर बाँधने वाला बीवियां दिए कम पड़ गया है काम रुक गया,रुक सरिया बाँधने वाला बाइंडिंग वायर कम पड़ गया है काम रुक गया।,Sariya/Binding wire hallucinations; speaker_format: supervisor_to_je
5482,insurance,सुन ही शायद को डब्लू सी पोकलेन की हार्ड कॉपी ऑफिस में जमा कर,सुन शुक्रवार को डब्लू सी पॉलिसी की हार्ड कॉपी ऑफिस में जमा कर।,Friday/WC Policy hallucinations; speaker_format: contractor_to_supervisor
5483,billing,अरे तीन पचासी का डीज़ल मैं वाइज बिल में एडजस्ट कर देना तू,अरे 3.85 का डीज़ल महीने वाइज बिल में एडजस्ट कर देना तू।,3.85/Month wise hallucinations; speaker_format: je_to_clerk
5484,digital,सर लोग इन नहीं हो रहा तो टेंडर सर अंदर कैसे माना जाएगा हमारा,सर लॉगिन नहीं हो रहा तो टेंडर सरेंडर कैसे माना जाएगा हमारा?,Login/Surrender hallucinations; speaker_format: contractor_to_ae
5485,building,अबे शरीर का जंक बीवियां दिए से साफ़ कर दे कोटिंग करने से पहले,अबे सरिया का जंक बाइंडिंग वायर से साफ़ कर दे कोटिंग करने से पहले।,Sariya/Binding wire hallucinations; speaker_format: supervisor_to_labor
5486,insurance,हाँ ही शायद को डब्लू सी पोकलेन का नया प्रीमियम भर दिया है,हाँ शुक्रवार को डब्लू सी पॉलिसी का नया प्रीमियम भर दिया है।,Friday/WC Policy hallucinations; speaker_format: clerk_to_je
5487,billing,रुक मैं वाइज सेल में तीन पचासी का इजाफा हुआ है इस बार सर,रुक महीने वाइज सेल में 3.85 का इजाफा हुआ है इस बार सर।,Month wise/3.85 hallucinations; speaker_format: je_to_ae
5488,digital,सुन लोग इन नहीं हुआ तो सर अंदर की रिक्वेस्ट रिजेक्ट हो जाएगी,सुन लॉगिन नहीं हुआ तो सरेंडर की रिक्वेस्ट रिजेक्ट हो जाएगी।,Login/Surrender hallucinations; speaker_format: clerk_to_contractor
5489,building,अरे शरीर को बीवियां दिए से बाँध के क्रेन का हुक लगा दे ऊपर,अरे सरिया को बाइंडिंग वायर से बाँध के क्रेन का हुक लगा दे ऊपर।,Sariya/Binding wire hallucinations; speaker_format: supervisor_to_labor
5490,insurance,सर डब्लू सी पोकलेन का अप्रूवल ही शायद तक मिल जाएगा हमें,सर डब्लू सी पॉलिसी का अप्रूवल शुक्रवार तक मिल जाएगा हमें।,WC Policy/Friday hallucinations; speaker_format: contractor_to_ae
5491,billing,अबे तीन पचासी की बुकिंग मैं वाइज समरी में डाल दी है मैंने,अबे 3.85 की बुकिंग महीने वाइज समरी में डाल दी है मैंने।,3.85/Month wise hallucinations; speaker_format: clerk_to_je
5492,digital,हाँ लोग इन हो गया है अब सर अंदर का फॉर्म डाउनलोड कर ले जल्दी,हाँ लॉगिन हो गया है अब सरेंडर का फॉर्म डाउनलोड कर ले जल्दी।,Login/Surrender hallucinations; speaker_format: je_to_supervisor
5493,building,रुक बीवियां दिए से शरीर का सपोर्ट कस ले वरना भीम लटक जाएगा,रुक बाइंडिंग वायर से सरिया का सपोर्ट कस ले वरना बीम लटक जाएगा।,Binding wire/Sariya/Beam hallucinations; speaker_format: site_engineer_to_labor
5494,insurance,सुन ही शायद को डब्लू सी पोकलेन की मीटिंग में फाइल ले आना,सुन शुक्रवार को डब्लू सी पॉलिसी की मीटिंग में फाइल ले आना।,Friday/WC Policy hallucinations; speaker_format: ae_to_je
5495,billing,अरे मैं वाइज लिस्ट में तीन पचासी के लेबर का नाम नहीं है भाई,अरे महीने वाइज लिस्ट में 3.85 के लेबर का नाम नहीं है भाई।,Month wise/3.85 hallucinations; speaker_format: clerk_to_contractor
5496,digital,सर लोग इन आई डी से सर अंदर की फाइल अटैच कर दी है मैंने आज,सर लॉगिन आईडी से सरेंडर की फाइल अटैच कर दी है मैंने आज।,Login/Surrender hallucinations; speaker_format: je_to_ae
5497,building,अबे शरीर बाँधने के लिए बीवियां दिए का नया पैकेट खोल ले जल्दी,अबे सरिया बाँधने के लिए बाइंडिंग वायर का नया पैकेट खोल ले जल्दी।,Sariya/Binding wire hallucinations; speaker_format: supervisor_to_labor
5498,insurance,हाँ ही शायद को डब्लू सी पोकलेन का रिन्यूअल पक्का हो जाएगा सर,हाँ शुक्रवार को डब्लू सी पॉलिसी का रिन्यूअल पक्का हो जाएगा सर।,Friday/WC Policy hallucinations; speaker_format: contractor_to_ae
5499,billing,रुक तीन पचासी का प्रॉफिट मैं वाइज बैलेंस शीट में चढ़ा देना तू,रुक 3.85 का प्रॉफिट महीने वाइज बैलेंस शीट में चढ़ा देना तू।,3.85/Month wise hallucinations; speaker_format: clerk_to_je
5500,digital,सुन लोग इन नहीं हुआ तो सर अंदर की डेट निकल जाएगी हमारी साइट की,सुन लॉगिन नहीं हुआ तो सरेंडर की डेट निकल जाएगी हमारी साइट की।,Login/Surrender hallucinations; speaker_format: je_to_contractor
5501,building,अरे बीवियां दिए बहुत कम है शरीर का पूरा जाल कैसे बंधेगा उधर,अरे बाइंडिंग वायर बहुत कम है सरिया का पूरा जाल कैसे बंधेगा उधर?,Binding wire/Sariya hallucinations; speaker_format: supervisor_to_labor
5502,insurance,सर डब्लू सी पोकलेन का पैसा ही शायद को बैंक में ट्रांसफर हुआ है,सर डब्लू सी पॉलिसी का पैसा शुक्रवार को बैंक में ट्रांसफर हुआ है।,WC Policy/Friday hallucinations; speaker_format: clerk_to_ae
5503,billing,अबे मैं वाइज रिकॉर्ड में तीन पचासी की मशीन का किराया काट दे,अबे महीने वाइज रिकॉर्ड में 3.85 की मशीन का किराया काट दे।,Month wise/3.85 hallucinations; speaker_format: ae_to_clerk
5504,digital,हाँ लोग इन हो गया है अब टेंडर सर अंदर की रसीद निकाल लो तुम,हाँ लॉगिन हो गया है अब टेंडर सरेंडर की रसीद निकाल लो तुम।,Login/Surrender hallucinations; speaker_format: je_to_contractor
5505,building,रुक शरीर सीधा कर और बीवियां दिए से फ्रेम को फिक्स कर ले जल्दी,रुक सरिया सीधा कर और बाइंडिंग वायर से फ्रेम को फिक्स कर ले जल्दी।,Sariya/Binding wire hallucinations; speaker_format: supervisor_to_labor
5506,insurance,सुन ही शायद को डब्लू सी पोकलेन का अपडेट जेई को दे देना साइट पे,सुन शुक्रवार को डब्लू सी पॉलिसी का अपडेट जेई को दे देना साइट पे।,Friday/WC Policy hallucinations; speaker_format: contractor_to_supervisor
5507,billing,अरे तीन पचासी का बिल मैं वाइज फोल्डर में रख दिया है मैंने आज,अरे 3.85 का बिल महीने वाइज फोल्डर में रख दिया है मैंने आज।,3.85/Month wise hallucinations; speaker_format: clerk_to_je
5508,digital,सर लोग इन पोर्टल पे सर अंदर का एरर कोड आ रहा है चेक करवाओ,सर लॉगिन पोर्टल पे सरेंडर का एरर कोड आ रहा है चेक करवाओ।,Login/Surrender hallucinations; speaker_format: je_to_it
5509,building,अबे बीवियां दिए से शरीर के बंडल बाँध ले क्रेन से उठाना है अभी,अबे बाइंडिंग वायर से सरिया के बंडल बाँध ले क्रेन से उठाना है अभी।,Binding wire/Sariya hallucinations; speaker_format: supervisor_to_labor
5510,insurance,हाँ ही शायद को डब्लू सी पोकलेन का नया कार्ड मिल जाएगा हमें सर,हाँ शुक्रवार को डब्लू सी पॉलिसी का नया कार्ड मिल जाएगा हमें सर।,Friday/WC Policy hallucinations; speaker_format: contractor_to_ae
5511,billing,रुक मैं वाइज समरी में तीन पचासी का डेटा मिसिंग है रजिस्टर चेक कर,रुक महीने वाइज समरी में 3.85 का डेटा मिसिंग है रजिस्टर चेक कर।,Month wise/3.85 hallucinations; speaker_format: ae_to_clerk
5512,digital,सुन लोग इन नहीं हुआ तो सर अंदर की एप्लिकेशन सबमिट नहीं होगी कल,सुन लॉगिन नहीं हुआ तो सरेंडर की एप्लिकेशन सबमिट नहीं होगी कल।,Login/Surrender hallucinations; speaker_format: je_to_ae
5513,building,अरे शरीर का वजन चेक कर और बीवियां दिए की नई पेटी मंगा ले स्टॉक से,अरे सरिया का वजन चेक कर और बाइंडिंग वायर की नई पेटी मंगा ले स्टॉक से।,Sariya/Binding wire hallucinations; speaker_format: supervisor_to_labor
5514,insurance,सर डब्लू सी पोकलेन का प्रीमियम ही शायद को भर दिया था हमने बैंक में,सर डब्लू सी पॉलिसी का प्रीमियम शुक्रवार को भर दिया था हमने बैंक में।,WC Policy/Friday hallucinations; speaker_format: clerk_to_ae
5515,billing,अबे तीन पचासी की लोडिंग मैं वाइज बिल में चढ़ा देना आज ही तू,अबे 3.85 की लोडिंग महीने वाइज बिल में चढ़ा देना आज ही तू।,3.85/Month wise hallucinations; speaker_format: contractor_to_clerk
5516,digital,हाँ लोग इन हो गया है अब पुरानी फाइल सर अंदर कर सकते हैं अपन,हाँ लॉगिन हो गया है अब पुरानी फाइल सरेंडर कर सकते हैं अपन।,Login/Surrender hallucinations; speaker_format: je_to_ae
5517,building,रुक शरीर की मोटाई और बीवियां दिए की लम्बाई चेक कर ले मार्किंग से,रुक सरिया की मोटाई और बाइंडिंग वायर की लम्बाई चेक कर ले मार्किंग से।,Sariya/Binding wire hallucinations; speaker_format: site_engineer_to_labor
5518,insurance,सुन ही शायद को डब्लू सी पोकलेन के लिए नई टीम आएगी इंस्पेक्शन को,सुन शुक्रवार को डब्लू सी पॉलिसी के लिए नई टीम आएगी इंस्पेक्शन को।,Friday/WC Policy hallucinations; speaker_format: ae_to_je
5519,billing,अरे मैं वाइज हिसाब में तीन पचासी का अंतर आ रहा है चेक कर ले,अरे महीने वाइज हिसाब में 3.85 का अंतर आ रहा है चेक कर ले।,Month wise/3.85 hallucinations; speaker_format: clerk_to_je
5520,digital,सर लोग इन पोर्टल पे सर अंदर का ऑप्शन आज यूज़ करेंगे हम शाम को,सर लॉगिन पोर्टल पे सरेंडर का ऑप्शन आज यूज़ करेंगे हम शाम को।,Login/Surrender hallucinations; speaker_format: je_to_ae
5521,building,अबे शरीर बाँधने के लिए बीवियां दिए का पैकेट गायब है साइट से यार,अबे सरिया बाँधने के लिए बाइंडिंग वायर का पैकेट गायब है साइट से यार।,Sariya/Binding wire hallucinations; speaker_format: supervisor_to_labor
5522,insurance,हाँ ही शायद को डब्लू सी पोकलेन का पैसा कांट्रेक्टर को मिल जाएगा सर,हाँ शुक्रवार को डब्लू सी पॉलिसी का पैसा कांट्रेक्टर को मिल जाएगा सर।,Friday/WC Policy hallucinations; speaker_format: clerk_to_ae
5523,billing,रुक तीन पचासी की खुदाई मैं वाइज रिपोर्ट में अपलोड कर देना जल्दी,रुक 3.85 की खुदाई महीने वाइज रिपोर्ट में अपलोड कर देना जल्दी।,3.85/Month wise hallucinations; speaker_format: je_to_operator
5524,digital,सुन लोग इन नहीं हुआ तो सर अंदर की रिक्वेस्ट ऑटो कैंसिल हो जाएगी,सुन लॉगिन नहीं हुआ तो सरेंडर की रिक्वेस्ट ऑटो कैंसिल हो जाएगी।,Login/Surrender hallucinations; speaker_format: it_to_je
5525,building,अरे शरीर को बीवियां दिए से बाँध के पिलर सीधा कर ले लेबर के साथ,अरे सरिया को बाइंडिंग वायर से बाँध के पिलर सीधा कर ले लेबर के साथ।,Sariya/Binding wire hallucinations; speaker_format: supervisor_to_labor
5526,insurance,सर डब्लू सी पोकलेन का डेटा ही शायद तक ऑफिस पहुँच जाएगा हमारा,सर डब्लू सी पॉलिसी का डेटा शुक्रवार तक ऑफिस पहुँच जाएगा हमारा।,WC Policy/Friday hallucinations; speaker_format: contractor_to_ae
5527,billing,अबे मैं वाइज रिकॉर्ड में तीन पचासी की एंट्री कल सुबह कर देना तू,अबे महीने वाइज रिकॉर्ड में 3.85 की एंट्री कल सुबह कर देना तू।,Month wise/3.85 hallucinations; speaker_format: ae_to_clerk
5528,digital,हाँ लोग इन पेज पे सर अंदर का नोटिफिकेशन आ गया है चेक कर ले,हाँ लॉगिन पेज पे सरेंडर का नोटिफिकेशन आ गया है चेक कर ले।,Login/Surrender hallucinations; speaker_format: je_to_clerk
5529,building,रुक बीवियां दिए बहुत ढीला है शरीर का जाल गिर जाएगा भीम में से,रुक बाइंडिंग वायर बहुत ढीला है सरिया का जाल गिर जाएगा बीम में से।,Binding wire/Sariya/Beam hallucinations; speaker_format: supervisor_to_labor
5530,insurance,सुन ही शायद को डब्लू सी पोकलेन की हार्ड कॉपी हेड ऑफिस भेज दे,सुन शुक्रवार को डब्लू सी पॉलिसी की हार्ड कॉपी हेड ऑफिस भेज दे।,Friday/WC Policy hallucinations; speaker_format: contractor_to_clerk
5531,billing,अरे तीन पचासी का पेमेंट मैं वाइज रजिस्टर में चढ़ा दिया है सर,अरे 3.85 का पेमेंट महीने वाइज रजिस्टर में चढ़ा दिया है सर।,3.85/Month wise hallucinations; speaker_format: clerk_to_ae
5532,digital,सर लोग इन नहीं हो रहा तो साइट सर अंदर कैसे मानी जाएगी कल तक,सर लॉगिन नहीं हो रहा तो साइट सरेंडर कैसे मानी जाएगी कल तक?,Login/Surrender hallucinations; speaker_format: je_to_ae
5533,building,अबे शरीर का जंक बीवियां दिए से साफ़ कर दे पेंट लगाने से पहले,अबे सरिया का जंक बाइंडिंग वायर से साफ़ कर दे पेंट लगाने से पहले।,Sariya/Binding wire hallucinations; speaker_format: supervisor_to_labor
5534,insurance,हाँ ही शायद को डब्लू सी पोकलेन का रिन्यूअल पक्का हो जाएगा कांट्रेक्टर का,हाँ शुक्रवार को डब्लू सी पॉलिसी का रिन्यूअल पक्का हो जाएगा ठेकेदार का।,Friday/WC Policy hallucinations; speaker_format: clerk_to_je
5535,billing,रुक मैं वाइज समरी में तीन पचासी का डेटा मिसिंग है दोबारा चेक कर,रुक महीने वाइज समरी में 3.85 का डेटा मिसिंग है दोबारा चेक कर।,Month wise/3.85 hallucinations; speaker_format: ae_to_clerk
5536,digital,सुन लोग इन आई डी से सर अंदर की प्रोसेस पूरी कर दे आज शाम तक,सुन लॉगिन आईडी से सरेंडर की प्रोसेस पूरी कर दे आज शाम तक।,Login/Surrender hallucinations; speaker_format: ae_to_clerk
5537,building,अरे बीवियां दिए से शरीर के टुकड़े जोड़ के फ्रेम तैयार कर लो तुम,अरे बाइंडिंग वायर से सरिया के टुकड़े जोड़ के फ्रेम तैयार कर लो तुम।,Binding wire/Sariya hallucinations; speaker_format: supervisor_to_labor
5538,insurance,सर डब्लू सी पोकलेन का प्रीमियम ही शायद को भर दिया था हमने अकाउंट से,सर डब्लू सी पॉलिसी का प्रीमियम शुक्रवार को भर दिया था हमने अकाउंट से।,WC Policy/Friday hallucinations; speaker_format: clerk_to_ae
5539,billing,अबे मैं वाइज हिसाब में तीन पचासी का प्रॉफिट ज्यादा है इस बार सर,अबे महीने वाइज हिसाब में 3.85 का प्रॉफिट ज्यादा है इस बार सर।,Month wise/3.85 hallucinations; speaker_format: je_to_ae
5540,digital,हाँ लोग इन हो गया है अब सर अंदर का फॉर्म डाउनलोड कर लो तुम सब,हाँ लॉगिन हो गया है अब सरेंडर का फॉर्म डाउनलोड कर लो तुम सब।,Login/Surrender hallucinations; speaker_format: je_to_supervisor
5541,building,रुक शरीर सीधा कर और बीवियां दिए से जाली को फिक्स कर ले जल्दी से,रुक सरिया सीधा कर और बाइंडिंग वायर से जाली को फिक्स कर ले जल्दी से।,Sariya/Binding wire hallucinations; speaker_format: supervisor_to_labor
5542,insurance,सुन ही शायद को डब्लू सी पोकलेन की मीटिंग में फाइल और आईडी ले आना,सुन शुक्रवार को डब्लू सी पॉलिसी की मीटिंग में फाइल और आईडी ले आना।,Friday/WC Policy hallucinations; speaker_format: ae_to_je
5543,billing,अरे तीन पचासी का बिल मैं वाइज फोल्डर में रख दिया है चेक कर लेना,अरे 3.85 का बिल महीने वाइज फोल्डर में रख दिया है चेक कर लेना।,3.85/Month wise hallucinations; speaker_format: clerk_to_je
5544,digital,सर लोग इन नहीं हुआ तो सर अंदर की डेट निकल जाएगी हमारी टेंडर की,सर लॉगिन नहीं हुआ तो सरेंडर की डेट निकल जाएगी हमारी टेंडर की।,Login/Surrender hallucinations; speaker_format: je_to_contractor
5545,building,अबे शरीर बाँधने के लिए बीवियां दिए का नया पैकेट लाओ स्टोर से जल्दी,अबे सरिया बाँधने के लिए बाइंडिंग वायर का नया पैकेट लाओ स्टोर से जल्दी।,Sariya/Binding wire hallucinations; speaker_format: supervisor_to_labor
5546,insurance,हाँ ही शायद को डब्लू सी पोकलेन का सर्टिफिकेट ऑफिस पहुँच जाएगा सर,हाँ शुक्रवार को डब्लू सी पॉलिसी का सर्टिफिकेट ऑफिस पहुँच जाएगा सर।,Friday/WC Policy hallucinations; speaker_format: contractor_to_ae
5547,billing,रुक तीन पचासी की लोडिंग मैं वाइज बिल में आज ही चढ़ानी है हमें,रुक 3.85 की लोडिंग महीने वाइज बिल में आज ही चढ़ानी है हमें।,3.85/Month wise hallucinations; speaker_format: clerk_to_je
5548,digital,सुन लोग इन पासवर्ड चेंज कर दो सर अंदर की रिक्वेस्ट पोर्टल पे है,सुन लॉगिन पासवर्ड चेंज कर दो सरेंडर की रिक्वेस्ट पोर्टल पे है।,Login/Surrender hallucinations; speaker_format: it_to_je
5549,building,अरे शरीर और बीवियां दिए का नया स्टॉक गाड़ी से उतरवा लो तुम सब,अरे सरिया और बाइंडिंग वायर का नया स्टॉक गाड़ी से उतरवा लो तुम सब।,Sariya/Binding wire hallucinations; speaker_format: supervisor_to_labor
5550,insurance,सर डब्लू सी पोकलेन का पैसा ही शायद को बैंक में ट्रांसफर हो जाएगा सर,सर डब्लू सी पॉलिसी का पैसा शुक्रवार को बैंक में ट्रांसफर हो जाएगा सर।,WC Policy/Friday hallucinations; speaker_format: clerk_to_ae
5551,billing,अबे मैं वाइज रिकॉर्ड में तीन पचासी की मशीन का रेंट काट देना तू आज,अबे महीने वाइज रिकॉर्ड में 3.85 की मशीन का रेंट काट देना तू आज।,Month wise/3.85 hallucinations; speaker_format: ae_to_clerk
5552,building,अरे हुजूर नगर में। आता है जो साइट वहां शरीर और बीवियां दिए भिजवाओ,अरे हुज़ूर नगर में आता है जो साइट वहां सरिया और बाइंडिंग वायर भिजवाओ।,Location/Sariya/Binding wire hallucinations; speaker_format: supervisor_to_labor
5553,billing,सर जगह रहा। छब्बीस वाले प्लॉट का मैं वाइज बिल तीन पचासी बना है,सर अजगरहा 26 वाले प्लॉट का महीने वाइज बिल 3.85 बना है।,Plot/Month wise/3.85 hallucinations; speaker_format: clerk_to_ae
5554,process,मयंक तिवारी देखता है जो फाइल उसका कन्फर्मेशन हो जाए तो काम शुरू करें,मयंक तिवारी देखता है जो फाइल उसका कन्फर्मेशन हो जाए तो काम शुरू करें।,Name/Confirmation hallucinations; speaker_format: je_to_ae
5555,legal,अबे सीवेज वालों शहर वालों का पाइप लीक है पंचनामा तो सब करना पड़ेगा,अबे सीवेज वाले का पाइप लीक है पंचनामा तो करना पड़ेगा।,Sewage/Punchnama hallucinations; speaker_format: contractor_to_je
5556,insurance,शैलेंद्र मिश्रा जी बोल रहे थे कि डब्लू सी पोकलेन का रिन्यूअल Friday ही शायद होगा,शैलेंद्र मिश्रा जी बोल रहे थे कि डब्लू सी पॉलिसी का रिन्यूअल शुक्रवार को होगा।,Name/WC Policy/Friday hallucinations; speaker_format: ae_to_je
5557,digital,रुक लोग इन नहीं हो रहा तो हुजूर नगर में। आता है वाली साइट सर अंदर कर दो,रुक लॉगिन नहीं हो रहा तो हुज़ूर नगर में आता है वाली साइट सरेंडर कर दो।,Login/Location/Surrender hallucinations; speaker_format: je_to_clerk
5558,building,सुन जगह रहा। छब्बीस पे शरीर बाँधने के लिए बीवियां दिए कम पड़ गए हैं,सुन अजगरहा 26 पे सरिया बाँधने के लिए बाइंडिंग वायर कम पड़ गए हैं।,Plot/Sariya/Binding wire hallucinations; speaker_format: supervisor_to_contractor
5559,insurance,अरे मयंक तिवारी देखता है साइट का डब्लू सी पोकलेन का पेपर उसी के पास है,अरे मयंक तिवारी देखता है साइट का डब्लू सी पॉलिसी का पेपर उसी के पास है।,Name/WC Policy hallucinations; speaker_format: je_to_ae
5560,sewerage,सर सीवेज वालों शहर वालों का काम Friday ही शायद खत्म हो पाएगा,सर सीवेज वालों का काम शुक्रवार को खत्म हो पाएगा।,Sewage/Friday hallucinations; speaker_format: contractor_to_ae
5561,legal,अबे पंचनामा तो सब तैयार रखो शैलेंद्र मिश्रा जी साइट पे आ रहे हैं,अबे पंचनामा तैयार रखो शैलेंद्र मिश्रा जी साइट पे आ रहे हैं।,Punchnama/Name hallucinations; speaker_format: je_to_clerk
5562,billing,हाँ मैं वाइज अटेंडेंस और तीन पचासी का पेमेंट कन्फर्मेशन हो जाए आज,हाँ महीने वाइज अटेंडेंस और 3.85 का पेमेंट कन्फर्मेशन हो जाए आज।,Month wise/3.85/Confirmation hallucinations; speaker_format: clerk_to_je
5563,road_work,रुक हुजूर नगर में। आता है जो एरिया वहां गद्दार से सब्जी रेट ठीक करा,रुक हुज़ूर नगर में आता है जो एरिया वहां ग्रेडर से सबग्रेड ठीक करा।,Location/Grader/Subgrade hallucinations; speaker_format: site_engineer_to_operator
5564,insurance,सुन जगह रहा। छब्बीस के पास डब्लू सी पोकलेन का प्रीमियम पेंडिंग है,सुन अजगरहा 26 के पास डब्लू सी पॉलिसी का प्रीमियम पेंडिंग है।,Plot/WC Policy hallucinations; speaker_format: clerk_to_ae
5565,building,अरे सीवेज वालों शहर वालों ने शरीर तोड़ दिया है खुदाई के टाइम,अरे सीवेज वालों ने सरिया तोड़ दिया है खुदाई के टाइम।,Sewage/Sariya hallucinations; speaker_format: supervisor_to_je
5566,billing,सर मयंक तिवारी देखता है जो एम बी बुक उसमें तीन पचासी की एंट्री है,सर मयंक तिवारी देखता है जो एमबी बुक उसमें 3.85 की एंट्री है।,Name/3.85/MB book hallucinations; speaker_format: clerk_to_ae
5567,digital,अबे शैलेंद्र मिश्रा जी का फोन था कन्फर्मेशन हो जाए तो लोग इन कर लेना,अबे शैलेंद्र मिश्रा जी का फोन था कन्फर्मेशन हो जाए तो लॉगिन कर लेना।,Name/Confirmation/Login hallucinations; speaker_format: je_to_supervisor
5568,legal,हाँ पंचनामा तो सब भर दिया है हुजूर नगर में। आता है वाली साइट का,हाँ पंचनामा भर दिया है हुज़ूर नगर में आता है वाली साइट का।,Punchnama/Location hallucinations; speaker_format: je_to_ae
5569,building,रुक बीवियां दिए से शरीर को बाँध दे जगह रहा। छब्बीस पे काम चालू है,रुक बाइंडिंग वायर से सरिया को बाँध दे अजगरहा 26 पे काम चालू है।,Binding wire/Sariya/Plot hallucinations; speaker_format: supervisor_to_labor
5570,sewerage,सुन Friday ही शायद को सीवेज वालों शहर वालों की मशीन आएगी,सुन शुक्रवार को सीवेज वालों की मशीन आएगी।,Friday/Sewage hallucinations; speaker_format: contractor_to_supervisor
5571,billing,अरे मैं वाइज खर्चे में हुजूर नगर में। आता है का डेटा कन्फर्मेशन हो जाए,अरे महीने वाइज खर्चे में हुज़ूर नगर में आता है का डेटा कन्फर्मेशन हो जाए।,Month wise/Location/Confirmation hallucinations; speaker_format: clerk_to_je
5572,insurance,सर मयंक तिवारी देखता है जो लेबर उसका डब्लू सी पोकलेन पक्का है क्या,सर मयंक तिवारी देखता है जो लेबर उसका डब्लू सी पॉलिसी पक्का है क्या?,Name/WC Policy hallucinations; speaker_format: je_to_ae
5573,digital,अबे जगह रहा। छब्बीस के प्लॉट पे लोग इन नहीं हो रहा मोबाइल से,अबे अजगरहा 26 के प्लॉट पे लॉगिन नहीं हो रहा मोबाइल से।,Plot/Login hallucinations; speaker_format: site_engineer_to_it
5574,process,हाँ शैलेंद्र मिश्रा जी ने बोला है कि साइट सर अंदर करने की फाइल बनाओ,हाँ शैलेंद्र मिश्रा जी ने बोला है कि साइट सरेंडर करने की फाइल बनाओ।,Name/Surrender hallucinations; speaker_format: je_to_clerk
5575,legal,रुक पंचनामा तो सब साइन करवा लो सीवेज वालों शहर वालों से,रुक पंचनामा साइन करवा लो सीवेज वालों से।,Punchnama/Sewage hallucinations; speaker_format: contractor_to_supervisor
5576,building,सुन तीन पचासी का शरीर और बीवियां दिए हुजूर नगर में। आता है पे भेज,सुन 3.85 का सरिया और बाइंडिंग वायर हुज़ूर नगर में आता है पे भेज।,3.85/Sariya/Binding wire/Location hallucinations; speaker_format: supervisor_to_helper
5577,billing,अरे मयंक तिवारी देखता है जो बिल उसका मैं वाइज हिसाब Friday ही शायद होगा,अरे मयंक तिवारी देखता है जो बिल उसका महीने वाइज हिसाब शुक्रवार को होगा।,Name/Month wise/Friday hallucinations; speaker_format: clerk_to_ae
5578,process,सर कन्फर्मेशन हो जाए तो जगह रहा। छब्बीस का काम कल से पक्का है,सर कन्फर्मेशन हो जाए तो अजगरहा 26 का काम कल से पक्का है।,Confirmation/Plot hallucinations; speaker_format: je_to_ae
5579,insurance,अबे शैलेंद्र मिश्रा जी की गाड़ी में डब्लू सी पोकलेन के पेपर रखे हैं,अबे शैलेंद्र मिश्रा जी की गाड़ी में डब्लू सी पॉलिसी के पेपर रखे हैं।,Name/WC Policy hallucinations; speaker_format: supervisor_to_helper
5580,water_supply,हाँ हुजूर नगर में। आता है वाली पाइप लाइन का हाईट रोस्ट फेल है,हाँ हुज़ूर नगर में आता है वाली पाइप लाइन का हाइड्रोटेस्ट फेल है।,Location/Hydrotest hallucinations; speaker_format: je_to_ae
5581,digital,रुक सीवेज वालों शहर वालों को बोल लोग इन आई डी तैयार रखें,रुक सीवेज वालों को बोल लॉगिन आईडी तैयार रखें।,Sewage/Login hallucinations; speaker_format: contractor_to_je
5582,billing,सुन मैं वाइज लेबर का तीन पचासी का हिसाब कन्फर्मेशन हो जाए तो दे दे,सुन महीने वाइज लेबर का 3.85 का हिसाब कन्फर्मेशन हो जाए तो दे दे।,Month wise/3.85/Confirmation hallucinations; speaker_format: clerk_to_je
